Technology,Management Measure Category,Phase of Project,Stressor,Receptor,Specific Receptor,Interaction,Specific Management Measures,Implications of Measure
Tidal,Mitigation,Decommissioning,Loss of habitat,Benthic,Benthic invertebrates,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,"Use of locally sourced materials, for cable protection, of the same type as the habitat to be disturbed by cable installation.",Minimize impact on biodiversity/ ecosystem.
Wave,Compliance,Operation & Maintenance,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.
Tidal,Mitigation,Installation,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.
Tidal,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduce/remove risk of transfer and settlement of non-native species.
Tidal,Monitoring,Decommissioning,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduce/removes risk of transfer of non-native species.
Wave,Mitigation,Decommissioning,Airborne noise,Birds,Seabirds,The potential effects from airborne noise generated during installation/construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs and important cliff nesting sites, during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, but could increase project construction timescales and thus costs e.g. if continuous drilling time is restricted or specific periods need to be avoided."
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Birds,All receptors,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Tidal,Mitigation,Operation & Maintenance,Collision risk,Birds,Diving birds,Potential for collision with turbine blades.,Selective structural and blade coatings i.e. colours to aide detection.,"Unknown - it is possible that this will aid detection of subsea structures and help reduce risk at a low cost. Lack of understanding and further research needed, it may be that certain colours could result in attraction resulting in an increase in collision risk."
Wave,Mitigation,Operation & Maintenance,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes)."
Tidal,Mitigation,Installation,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Where rock placement is used, ensure clean rock is used.",Reduces/removes risk of contamination from materials.
Tidal,Mitigation,Decommissioning,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Tidal,None identified,Operation & Maintenance,Displacement,Birds,Seabirds,Potential displacement of essential activities due to the presence of devices and associated moorings / support structures.,None identified.,n/a
Tidal,Monitoring,Operation & Maintenance,Entanglement,Birds,Diving birds,Potential for marine animals to become entangled in device mooring lines and cables.,Routine inspections of mooring lines. Implement features into existing control systems to detect entanglement events.,Would remove/reduce risk of entanglement and is a low cost monitoring capability.
Tidal,Monitoring,Operation & Maintenance,Habitat creation,Birds,Roosting birds,The introduction of infrastructure and artificial substrates will provide potential roosting habitat.,Monitor use of device as a roosting platform.,"Reduces scientific uncertainty around collision risk, displacement and other impacts, however this type of monitoring can be expensive."
Tidal,Compliance,Installation,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Would remove/reduce risk of transfer and settlement of non-native species.
Tidal,Mitigation,Decommissioning,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer of non-native species.
Wave,Compliance,Operation & Maintenance,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.
Tidal,Mitigation,Installation,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.
Tidal,Monitoring,Installation,Marine Non-Native Species (MNNS),Birds,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduce/removes risk of transfer of non-native species.
Wave,Mitigation,Operation & Maintenance,Vessel disturbance,Birds,Birds on water,Potential for disturbance from project vessels.,Do not break up or 'flush' rafts of birds.,"Reduces potential effects and is a relatively low cost measure, however effectiveness of mitigation is unclear. 
Also pertinent to note that the measure is selectively applied to project vessels in context of other vessel operations."
Tidal,Mitigation,Installation,Vessel disturbance,Birds,Birds on water,Potential for disturbance from project vessels.,Adhere to minimum approach distances for vessels on approach to marine mammals and birds.,"Reduces potential effects and is a relatively low cost measure, however effectiveness of mitigation is unclear. Can increase the time of operational procedures and thus increase cost.
Further monitoring, e.g. defining of approach distances and then comparing these to see which are most effective would validate the efficacy of the measure."
Tidal,Mitigation,Decommissioning,Vessel disturbance,Birds,Shore-nesting birds,Potential for disturbance from project vessels.,Avoidance of sensitive shore nesting areas during sensitive periods with appropriate clearance distance.,Reduces potential effects and is a relatively low cost measure.
Tidal,None identified,Operation & Maintenance,Barrier to movement,Fish,Basking shark; Whale shark; Fish,"Potential barrier to movement  due to the physical presence of devices and associated moorings / support structures, cables and electrical equipment.",None identified.,n/a
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Fish,All receptors,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Tidal,Design feature,Installation,Contamination,Fish,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.
Tidal,Mitigation,Decommissioning,Contamination,Fish,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. Alrhough, use of lower toxicity materials may compromise performance, or impact other technical issues (e.g. fluid changes)."
Wave,Compliance,Operation & Maintenance,Contamination,Fish,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Tidal,Design feature,Operation & Maintenance,EMF and thermal pressure,Fish,Migratory fish; Elasmobranchs,Impacts of electromagnetic fields from subsea cables on sensitive species.,Install cable protection/ armour/ rock placement/  other cable protection.,"Reduces the level of EMF to surrounding water column and therefore any potential effects. 
Reduces 'snagging risk' for vessels and may create habitat for species.
Potential for adverse impacts on surrounding benthic habitats and sensitive species, e.g. from smothering.
This measure forms part of normal project design."
Tidal,Design feature,Operation & Maintenance,EMF and thermal pressure,Fish,Elasmobranchs,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bundle cables together to reduce field vectors.,"Reduce the level of EMF to surrounding water column and therefore any potential effects.
Could result in there being less redundancy in the system and potential commercial and technical feasibility issues."
Tidal,Design feature,Operation & Maintenance,EMF and thermal pressure,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Limit cable voltage.,n/a
Tidal,Design feature,Operation & Maintenance,EMF and thermal pressure,Fish,Demersal fish,Impacts of electromagnetic fields from landfall cables on sensitive species.,Strategic use of rock placement/other cable protection.,n/a
Tidal,Design feature,Operation & Maintenance,Entanglement,Fish,Basking shark; Large fish,Potential for marine animals to become entangled in device mooring lines and cables.,Cable design with maximum bend radius.,"Would remove/reduce risk of entanglement, however cable design driven by technical and commercial consideration. Entanglement records are a useful way to track events."
Tidal,Monitoring,Operation & Maintenance,Entanglement,Fish,Basking shark; Large fish,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,"Ensure standard notifications of loss of fishing gear in region notified to operators. 
Reporting of entanglement events.",Good practice for emergency preparedness.
Tidal,Monitoring,Operation & Maintenance,Habitat creation,Fish,All receptors,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours.,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure which could benefit future project applications. However, there is a cost implication associated with monitoring."
Wave,Design feature,Decommissioning,Loss of habitat,Fish,Demersal fish,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices associated moorings or support structures on the seabed.,Minimise footprint of anchors / foundations.,"This could reduce effects on sensitive habitats, however may impact technical considerations."
Wave,Mitigation,Decommissioning,Loss of seabed habitat,Fish,Fish,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,"Use of locally sourced materials, for cable protection, of the same type as the habitat to be disturbed by cable installation.",Minimise impact on biodiversity/ ecosystem.
Tidal,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduce/remove risk of transfer and settlement of non-native species.
Wave,Mitigation,Operation & Maintenance,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/removes risk of transfer of non-native species.
Tidal,Compliance,Installation,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/removes risk of transfer of non-native species.
Tidal,Mitigation,Decommissioning,Marine Non-Native Species (MNNS),Fish,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/removes risk of transfer of non-native species.
Wave,Mitigation,Decommissioning,Underwater noise,Fish,Fish,The potential effects from underwater noise generated during installation/ construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, but could increase project construction timescales and thus costs e.g. if continuous drilling time is restricted or specific periods need to be avoided."
Tidal,Mitigation,Installation,Vessel disturbance,Fish,Large fish,Potential for disturbance from project vessels.,Reduce speed and maintain steady course when animal is sighted.,Reduces potential effects and is a relatively low cost measure.
Tidal,Mitigation,Decommissioning,Airborne noise,Marine Mammals,Marine Mammals,The potential effects from airborne noise generated during installation/construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs and important cliff nesting sites, during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, however may could increase project construction timescales e.g. if continuous drilling time is restricted or specific periods need to be avoided."
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Marine Mammals,All receptors,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Tidal,Design feature,Operation & Maintenance,Collision risk,Marine Mammals,Marine Mammals,Potential for collision with turbine blades.,Install a 'detect and shut-down' system using active sonar and other appropriate monitoring equipment.,"This could reduce/remove risk of collision with moving blades and enable a route through the consenting process, particulalrly at high sensitivity locations. However, this could affect power production, is expensive to implement and does not help to reduce scientific uncertainty regarding the risk. The reductions in power production, although small, would bring about uncertainty in the investment process and there are questions around impacts of sonar on sensitive species."
Tidal,Mitigation,Operation & Maintenance,Collision risk,Marine Mammals,Marine Mammals,Potential for collision with turbine blades.,Selective structural and blade coatings i.e. colours to aide detection.,"Unknown - it is possible that this will aid detection of subsea structures and help reduce risk. It can be captured in early project design for a small one-off cost, however further research is needed as there is potential for an increased collision risk through 'attraction'."
Wave,Mitigation,Operation & Maintenance,Contamination,Marine Mammals,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes)."
Tidal,Mitigation,Installation,Contamination,Marine Mammals,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Where rock placement is used, ensure clean rock is used.",Reduces/removes risk of contamination from materials.
Tidal,Mitigation,Decommissioning,Contamination,Marine Mammals,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.","Reduces risk of any contamination event, ensures that contingency plans are in place and demonstrates compliance with environmental management systems."
Tidal,None identified,Operation & Maintenance,Displacement,Marine Mammals,Marine Mammals,Potential displacement of essential activities due to the presence of devices and associated moorings / support structures.,None identified.,n/a
Tidal,Monitoring,Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,Install tension sensors on mooring lines.,"Informs of problem with mooring lines allowing rectification, however this comes at an additional cost and control system integration requirement."
Tidal,Monitoring,Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,"Routine inspections of mooring lines.
Implement features into existing control systems to detect entanglement events.",Removes/reduces risk of entanglement and is a low cost monitoring capability.
Wave,Mitigation,Operation & Maintenance,Marine Non-Native Species (MNNS),Marine Mammals,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer of non-native species.
Tidal,Mitigation,Installation,Marine Non-Native Species (MNNS),Marine Mammals,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.
Tidal,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Marine Mammals,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.
Wave,Compliance,Operation & Maintenance,Marine Non-Native Species (MNNS),Marine Mammals,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduces/removes risk of transfer and settlement of non-native species.
Tidal,Monitoring,Installation,Marine Non-Native Species (MNNS),Marine Mammals,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduces/removes risk of transfer of non-native species.
Tidal,Monitoring,Operation & Maintenance,Underwater noise,Marine Mammals,Marine Mammals,The potential effects from underwater noise generated by wave and tidal energy converters.,Measure noise generated by device(s) during operation to better understand the potential effects on sensitive species.,"Measured noise levels can be correlated with threshold values of relevant species to determine impact and need for adaptive management measures, however this can be complex  and costly to undertake this type of monitoring in high energy environments."
Wave,Mitigation,Operation & Maintenance,Vessel disturbance,Marine Mammals,Marine Mammals,Potential for disturbance from project vessels.,Reduce speed and maintain steady course when animal is sighted.,Reduces potential effects and is a relatively low cost measure.
Wave,Mitigation,Operation & Maintenance,Vessel disturbance,Marine Mammals,Seals,Disturbance at seal haul-out sites from project vessels.,Avoid transiting within 500m of known seal haul outs.,Reduces potential effects and is a relatively low cost measure.
Tidal,Mitigation,Installation,Vessel disturbance,Marine Mammals,Marine Mammals,Potential for disturbance from project vessels.,Care will be taken to avoid splitting up groups and mothers and young.,Reduces potential effects and is a relatively low cost measure.
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Reptiles,All receptors,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Tidal,Design feature,Installation,Contamination,Reptiles,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.
Tidal,Mitigation,Decommissioning,Contamination,Reptiles,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. Although, use of lower toxicity materials may compromise performance, or impact other technical issues (e.g. fluid changes)."
Wave,Mitigation,Operation & Maintenance,Contamination,Reptiles,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Tidal,Compliance,Installation,Contamination,Reptiles,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Tidal,Monitoring,Operation & Maintenance,Entanglement,Reptiles,Sea turtles,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,"Ensure standard notifications of loss of fishing gear in region notified to operators.
Reporting of entanglement events.",Good practice for emergency preparedness.
Tidal,Mitigation,Operation & Maintenance,Entrapment,Reptiles,All receptors,Potential risk of entrapment within device chambers and mooring arrays.,Release entrapped animal.,n/a
Tidal,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Reptiles,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduces/removes risk of transfer and settlement of non-native species.
Wave,Mitigation,Operation & Maintenance,Marine Non-Native Species (MNNS),Reptiles,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduces/removes risk of transfer and settlement of non-native species.
Tidal,Compliance,Installation,Marine Non-Native Species (MNNS),Reptiles,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduces/removes risk of transfer and settlement of non-native species.
Tidal,Mitigation,Decommissioning,Marine Non-Native Species (MNNS),Reptiles,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduces/removes risk of transfer and settlement of non-native species.
Tidal,None identified,Operation & Maintenance,Barrier to movement,Habitat,All receptors,"Potential barrier to movement  due to the physical presence of devices and associated moorings / support structures, cables and electrical equipment.",None identified.,n/a
Tidal,Mitigation,Decommissioning,Changes in sediment dynamics,Habitat,All receptors,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Wave,Design feature,Decommissioning,Contamination,Habitat,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.
Tidal,Mitigation,Operation & Maintenance,Contamination,Habitat,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, the use of lower toxicity materials may compromise performance, or impact other technical issue (e.g. fluuid changes)."
Wave,Mitigation,Installation,Contamination,Habitat,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Wave,Compliance,Decommissioning,Contamination,Habitat,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organisation (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Wave,Design feature,Operation & Maintenance,Loss of habitat,Habitat,Intertidal ecology,Direct loss of protected or sensitive intertidal communities from changes in hydrodynamics due to nearshore WECs.,Micrositing of nearshore WECs  to minimise the impact on sensitive habitats and species.,n/a
Tidal,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Habitat,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduce/remove risk of transfer and settlement of non-native species.
Wave,Mitigation,Operation & Maintenance,Marine Non-Native Species (MNNS),Habitat,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer and settlement of non-native species.
Tidal,Compliance,Installation,Marine Non-Native Species (MNNS),Habitat,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer and settlement of non-native species.
Tidal,Mitigation,Decommissioning,Marine Non-Native Species (MNNS),Habitat,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer and settlement of non-native species.
Wave,Mitigation,Installation,Changes in sediment dynamics,Benthic,All receptors,Reduced visibility from altered water clarity associated with sediment mixing that can impact prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Benthic,Benthic invertebrates,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of tidal flow arising from devices and  moorings or support structures.,"Pre and post installation monitoring of sensitive benthic communities, based on diver, drop down, static visual surveys (camera) or grab sampling.","Would result in a reduction of scientific uncertainty, however interpretation of data for statistical purposes may not have power to detect change generated by impact. In addition it may  require correlation with detailed Computational Fluid Dynamics studies and physical flow measurements."
Wave,Mitigation,Operation & Maintenance,Contamination,Benthic,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes)."
Tidal,Mitigation,Installation,Contamination,Benthic,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Where rock placement is used, ensure clean rock is used.",Reduces/removes risk of contamination from materials.
Tidal,Compliance,Decommissioning,Contamination,Benthic,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organization (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
Wave,Design feature,Operation & Maintenance,EMF and thermal pressure,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species,Limit cable voltage,n/a
Wave,Design feature,Operation & Maintenance,EMF and thermal pressure,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species,Lay cables in natural crevices,n/a
Wave,Design feature,Operation & Maintenance,EMF and thermal pressure,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species,Bundle cables together to reduce field vectors,n/a
Wave,Design feature,Installation,Loss of habitat,Benthic,Benthic invertebrates,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices associated moorings or support structures on the seabed.,Micrositing of offshore infrastructure to avoid sensitive habitats.,This could reduce/remove effects on sensitive habitats and can often be done with little additional costs.
Wave,Design feature,Installation,Loss of habitat,Benthic,Benthic invertebrates,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Cable protection management measures to ensure that any rock placement that is required will be kept to a minimum to reduce seabed disturbance.,This could reduce effects on sensitive habitats.
Wave,Mitigation,Installation,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer of non-native species.
Wave,Compliance,Decommissioning,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.
Tidal,Mitigation,Operation & Maintenance,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.
Wave,Design feature,Installation,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Avoid the introduction of hard bottom substrate into a soft bottom habitat.,"Ensures the efficient recovery of species native to the surrounding habitat. 
May have technical implications."
Wave,Compliance,Installation,Marine Non-Native Species (MNNS),Benthic,All receptors,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduce/removes risk of transfer of non-native species.
Tidal,Mitigation,Installation,Airborne noise,Birds,Seabirds,The potential effects from airborne noise generated during installation/construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs and important cliff nesting sites, during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, but could increase project construction timescales and thus costs e.g. if continuous drilling time is restricted or specific periods need to be avoided."
Wave,Mitigation,Installation,Changes in sediment dynamics,Birds,All receptors,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,n/a
Wave,Design feature,Installation,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.
Wave,Mitigation,Decommissioning,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, use of lower toxicity may compromise performance, or impact other technical issues (e.g. fluid changes)."
Tidal,Mitigation,Operation & Maintenance,Contamination,Birds,All receptors,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Where rock placement is used, ensure clean rock is used.",Reduces/removes risk of contamination from materials.
