KEY INTERACTION DETAIL,n,key_interaction_detail
"Project installation, maintenance, operation, and removal would require land- disturbing activities associated with the burial and eventual removal of the terrestrial portion of the cable, which could result in soil erosion and sedimentation. A temporary disturbance to the riverbed would also result from the installation, maintenance, operation, and removal of the TGUs, anchor and mooring systems, and underwater cables. Operation of the TGUs could result in the scouring and mobilization of riverbed sediment.",2,"Project Installation, Maintenance, Operation, And Removal Would Require Land- Disturbing Activities Associated With The Burial And Eventual Removal Of The Terrestrial Portion Of The Cable, Which Could Result In Soil Erosion And Sedimentation. A Temporary Disturbance To The Riverbed Would Also Result From The Installation, Maintenance, Operation, And Removal Of The Tgus, Anchor And Mooring Systems, And Underwater Cables. Operation Of The Tgus Could Result In The Scouring And Mobilization Of Riverbed Sediment."
"Project stakeholders are concerned that a number of wave energy projects may cumulatively affect sediment transport along the shore, possibly resulting in changes in erosion or accretion along beaches.",1,"Project Stakeholders Are Concerned That A Number Of Wave Energy Projects May Cumulatively Affect Sediment Transport Along The Shore, Possibly Resulting In Changes In Erosion Or Accretion Along Beaches."
"Pursuit-diving seabirds such as alcids and cormorants, and plunge-diving seabirds such as brown pelicans, gulls, and shearwaters could occur in the vicinity of the WECs and collide with underwater WEC components or become in entangled in marine debris (e.g., lost fishing gear) if it accumulates at underwater WEC components (Henkel et al. 2013), or be crushed or entrapped by moving parts. Some diving seabirds (e.g., cormorants) could attempt to roost or nest on above-water structures (Henkel et al. 2013. Additionally, the diving seabirds likely to occur in the Project area are unlikely to collide with submerged WEC structures, because they are agile swimmers and have high underwater visual acuity (Henkel et al. 2013).",2,"Pursuit-Diving Seabirds Such As Alcids And Cormorants, And Plunge-Diving Seabirds Such As Brown Pelicans, Gulls, And Shearwaters Could Occur In The Vicinity Of The Wecs And Collide With Underwater Wec Components Or Become In Entangled In Marine Debris (E.g., Lost Fishing Gear) If It Accumulates At Underwater Wec Components (Henkel Et Al. 2013), Or Be Crushed Or Entrapped By Moving Parts. Some Diving Seabirds (E.g., Cormorants) Could Attempt To Roost Or Nest On Above-Water Structures (Henkel Et Al. 2013. Additionally, The Diving Seabirds Likely To Occur In The Project Area Are Unlikely To Collide With Submerged Wec Structures, Because They Are Agile Swimmers And Have High Underwater Visual Acuity (Henkel Et Al. 2013)."
RECREATIONAL VESSELS WOULD BE DIVERTED FROM PROJECT EQUIPTMENT DURING CONSTRUCTION,1,Recreational Vessels Would Be Diverted From Project Equiptment During Construction
RED HAKE,1,Red Hake
"Researchers reviewed blocks of video footage from portions of the 238 hours recorded during the 2015 deployment. They observed 359 unique interaction events between fish and the device. During these events, approximately 1,202 individual fish from at least six species interacted with the RivGen system. The majority of fish observations were of solitary fish; however, some schools of up to 100 fish encountered the device. Species composition varied between July and August and also between day and night. Salmon smolt were almost exclusively seen at night, and were more prevalent in July than August. Several fish moved directly through the RivGen turbine. The video footage showed no obvious physical injuries to fish, no actual contact between the turbines and fish, and no altered behavior by fish species near the RivGen device. Cameras, lights, and power system components all operated reliably.",2,"Researchers Reviewed Blocks Of Video Footage From Portions Of The 238 Hours Recorded During The 2015 Deployment. They Observed 359 Unique Interaction Events Between Fish And The Device. During These Events, Approximately 1,202 Individual Fish From At Least Six Species Interacted With The Rivgen System. The Majority Of Fish Observations Were Of Solitary Fish; However, Some Schools Of Up To 100 Fish Encountered The Device. Species Composition Varied Between July And August And Also Between Day And Night. Salmon Smolt Were Almost Exclusively Seen At Night, And Were More Prevalent In July Than August. Several Fish Moved Directly Through The Rivgen Turbine. The Video Footage Showed No Obvious Physical Injuries To Fish, No Actual Contact Between The Turbines And Fish, And No Altered Behavior By Fish Species Near The Rivgen Device. Cameras, Lights, And Power System Components All Operated Reliably."
"Resource agency staff believe that the potential effects of this unique EMF-generating array should be evaluated in situ and potential effects to identified marine life examined. Previous studies have identified the need to measure the response of electro-sensitive species with the characteristics and magnitude of cabling associated with off-shore energy projects (Centre for Marine and Coastal Studies 2005). Research related to these topics is currently being conducted by Collaborative Offshore Wind Energy Research Into the Environment (COWRIE) (2006), but the results of this study are not yet available.",1,"Resource Agency Staff Believe That The Potential Effects Of This Unique Emf-Generating Array Should Be Evaluated In Situ And Potential Effects To Identified Marine Life Examined. Previous Studies Have Identified The Need To Measure The Response Of Electro-Sensitive Species With The Characteristics And Magnitude Of Cabling Associated With Off-Shore Energy Projects (Centre For Marine And Coastal Studies 2005). Research Related To These Topics Is Currently Being Conducted By Collaborative Offshore Wind Energy Research Into The Environment (Cowrie) (2006), But The Results Of This Study Are Not Yet Available."
RISK OF PROJECT VESSEL COLLSION,3,Risk Of Project Vessel Collsion
SAND TIGER SHARK,1,Sand Tiger Shark
SANDBAR SHARK,1,Sandbar Shark
SCUP,1,Scup
"sound emitted by the WECs during ordinary operation is expected to be within the range of ambient sound levels; furthermore, it is not expected to produce intense sound at amplitudes capable of causing temporary or permanent auditory harm to marine vertebrates (Wilson et al. 2013). Vessel sound could create temporary disturbance to seabirds, but these effects are anticipated to be negligible since they would not rise to the level of causing harm, and would be short term and temporary (i.e., hours). In addition, OSU would implement the Acoustics Monitoring Plan to detect and, if needed, mitigate any effects of Project- related underwater sound. For these reasons, Project-related underwater sound and vibration are not likely to have significant adverse effects on seabirds.",1,"Sound Emitted By The Wecs During Ordinary Operation Is Expected To Be Within The Range Of Ambient Sound Levels; Furthermore, It Is Not Expected To Produce Intense Sound At Amplitudes Capable Of Causing Temporary Or Permanent Auditory Harm To Marine Vertebrates (Wilson Et Al. 2013). Vessel Sound Could Create Temporary Disturbance To Seabirds, But These Effects Are Anticipated To Be Negligible Since They Would Not Rise To The Level Of Causing Harm, And Would Be Short Term And Temporary (I.e., Hours). In Addition, Osu Would Implement The Acoustics Monitoring Plan To Detect And, If Needed, Mitigate Any Effects Of Project- Related Underwater Sound. For These Reasons, Project-Related Underwater Sound And Vibration Are Not Likely To Have Significant Adverse Effects On Seabirds."
SPANISH MACKEREL,1,Spanish Mackerel
SPILL PREVENTION/MITIGATION PLAN,1,Spill Prevention/Mitigation Plan
"Structures would likely become colonized (“biofouled”) by algae and invertebrates, such as barnacles, mussels, bryozoans, corals, tunicates, and tube-dwelling worms and crustaceans, termed “biofouling” (Boehlert et al. 2008). Based on surveys at PacWave North, changes to the benthos (particularly shell hash accumulation) may be expected to occur up to 250 m away from an anchor installation; however, this accumulation does not appear to have a measureable effect on the composition of the macrofaunal community (Henkel and Hellin 2016).",1,"Structures Would Likely Become Colonized (“Biofouled”) By Algae And Invertebrates, Such As Barnacles, Mussels, Bryozoans, Corals, Tunicates, And Tube-Dwelling Worms And Crustaceans, Termed “Biofouling” (Boehlert Et Al. 2008). Based On Surveys At Pacwave North, Changes To The Benthos (Particularly Shell Hash Accumulation) May Be Expected To Occur Up To 250 M Away From An Anchor Installation; However, This Accumulation Does Not Appear To Have A Measureable Effect On The Composition Of The Macrofaunal Community (Henkel And Hellin 2016)."
"Summary – Because of the small size of the Project, it is not anticipated that the addition of Project structures to the marine environment would represent a significant change to marine habitat above existing conditions. Any changes to marine community composition as result of the presence of these structures are not expected to adversely affect marine life that could be in the Project area. OSU would conduct the Organism Interactions Monitoring Plan (Appendix H) to evaluate fish associations and biofouling on the anchors/WECs.",1,"Summary – Because Of The Small Size Of The Project, It Is Not Anticipated That The Addition Of Project Structures To The Marine Environment Would Represent A Significant Change To Marine Habitat Above Existing Conditions. Any Changes To Marine Community Composition As Result Of The Presence Of These Structures Are Not Expected To Adversely Affect Marine Life That Could Be In The Project Area. Osu Would Conduct The Organism Interactions Monitoring Plan (Appendix H) To Evaluate Fish Associations And Biofouling On The Anchors/Wecs."
SUMMER FLOUNDER,2,Summer Flounder
THE ABILITY FOR LOOSE AND LOOPING CABLE TO DIRECTLY HARM MARINE WILDLIFE AND/OR THE ABILITY FOR MARINE WILDLIFE TO ENTER THE BOUY AND BECOME ENTRAPED,3,The Ability For Loose And Looping Cable To Directly Harm Marine Wildlife And/Or The Ability For Marine Wildlife To Enter The Bouy And Become Entraped
"The AMP is based on fish monitoring that was conducted in 2014 after the sockeye salmon smolt outmigration. During fish monitoring the largest school of fish detected in one observation was 100 fish and this was not during the sockeye smolt outmigration period. As the plan discusses, up to 20,000,000 outmigrating sockeye smolt could pass the RivGen in a single day during this concentrated period of outmigration and about 50,000,000 in the major two-week pulse of sockeye smolt outmigration at the project site.
Project studies and reports do not consider the potential effects of fish alarm pheromones which can occur when the skin of even a single fish is injured and will release a fish alarm pheromone which is very quickly dispersed through the water causing a predator response in all other fish in a school. In salmonids, this results in fish sounding, i.e., they stop swimming and drop quickly to the bottom, which could result in a very large number of fish going through the turbines (Magurran, Irving and Henderson 1996; Sovava et al 2014; and Scott et al 2003). Video observations of a school of 100 fish cannot adequately inform the behavior of 20,000,000 fish in the same space and time.",2,"The Amp Is Based On Fish Monitoring That Was Conducted In 2014 After The Sockeye Salmon Smolt Outmigration. During Fish Monitoring The Largest School Of Fish Detected In One Observation Was 100 Fish And This Was Not During The Sockeye Smolt Outmigration Period. As The Plan Discusses, Up To 20,000,000 Outmigrating Sockeye Smolt Could Pass The Rivgen In A Single Day During This Concentrated Period Of Outmigration And About 50,000,000 In The Major Two-Week Pulse Of Sockeye Smolt Outmigration At The Project Site.
Project Studies And Reports Do Not Consider The Potential Effects Of Fish Alarm Pheromones Which Can Occur When The Skin Of Even A Single Fish Is Injured And Will Release A Fish Alarm Pheromone Which Is Very Quickly Dispersed Through The Water Causing A Predator Response In All Other Fish In A School. In Salmonids, This Results In Fish Sounding, I.e., They Stop Swimming And Drop Quickly To The Bottom, Which Could Result In A Very Large Number Of Fish Going Through The Turbines (Magurran, Irving And Henderson 1996; Sovava Et Al 2014; And Scott Et Al 2003). Video Observations Of A School Of 100 Fish Cannot Adequately Inform The Behavior Of 20,000,000 Fish In The Same Space And Time."
"The Aquatic Species Subgroup has identified the potential that cetaceans may not be able to detect the project mooring system and may subsequently collide or become entangled with mooring lines. Some whale species may swim with their mouth open, and there is a specific concern that a mooring line may become lodged in the mouth of a feeding whale. In addition, subgroup members indicated concern that derelict fishing gear (abandoned/stray fishing gear) may snag on project moorings and in turn pose and entanglement risk to cetaceans. If gray whales, which regularly migrate through the project area, are successful in detecting the project infrastructure, the Aquatic Species Subgroup has also expressed concern over the potential effects from altering their migration route to avoid the project. The effect of project noise on whales is also of concern",3,"The Aquatic Species Subgroup Has Identified The Potential That Cetaceans May Not Be Able To Detect The Project Mooring System And May Subsequently Collide Or Become Entangled With Mooring Lines. Some Whale Species May Swim With Their Mouth Open, And There Is A Specific Concern That A Mooring Line May Become Lodged In The Mouth Of A Feeding Whale. In Addition, Subgroup Members Indicated Concern That Derelict Fishing Gear (Abandoned/Stray Fishing Gear) May Snag On Project Moorings And In Turn Pose And Entanglement Risk To Cetaceans. If Gray Whales, Which Regularly Migrate Through The Project Area, Are Successful In Detecting The Project Infrastructure, The Aquatic Species Subgroup Has Also Expressed Concern Over The Potential Effects From Altering Their Migration Route To Avoid The Project. The Effect Of Project Noise On Whales Is Also Of Concern"
"The buoys in the project exclusion zone, the danger signs associated with the project, and the shoreline vaults will need to be new features of the local viewshed. Because these have been designed to have minimal aesthetic effect and are similar to other features along this waterway, these effects are expected to be minimal.",1,"The Buoys In The Project Exclusion Zone, The Danger Signs Associated With The Project, And The Shoreline Vaults Will Need To Be New Features Of The Local Viewshed. Because These Have Been Designed To Have Minimal Aesthetic Effect And Are Similar To Other Features Along This Waterway, These Effects Are Expected To Be Minimal."
"The concern raised by NMFS about the potential for tidal turbines to affect sturgeon species by disrupting migration or other essential behaviors also does not appear applicable to this type of system, in which the river is not blocked.",1,"The Concern Raised By Nmfs About The Potential For Tidal Turbines To Affect Sturgeon Species By Disrupting Migration Or Other Essential Behaviors Also Does Not Appear Applicable To This Type Of System, In Which The River Is Not Blocked."
"The deployment of the TGU units, anchor and mooring systems, and underwater cables in Phases 1 and 2 of installation would disturb approximately 3.7 acres of riverbed located at the proposed site of TGU deployment and along the route of the cables. Depending on the sediment size, the disturbed sediment could be washed downstream of the project site. The anchors and cabling would be laid prior to TGU deployment. Operation of the TGU could also dislodge riverbed sediment if they sufficiently alter flows.",1,"The Deployment Of The Tgu Units, Anchor And Mooring Systems, And Underwater Cables In Phases 1 And 2 Of Installation Would Disturb Approximately 3.7 Acres Of Riverbed Located At The Proposed Site Of Tgu Deployment And Along The Route Of The Cables. Depending On The Sediment Size, The Disturbed Sediment Could Be Washed Downstream Of The Project Site. The Anchors And Cabling Would Be Laid Prior To Tgu Deployment. Operation Of The Tgu Could Also Dislodge Riverbed Sediment If They Sufficiently Alter Flows."
The District’s proposed Derelict Gear Monitoring Plan allows for detection and removal of derelict fishing gear. This will minimize the chance that recreational fishing gear will snag on Project components. These mitigation measures reduce the likelihood of derelict fishing gear entangling on Project works and impacting marine species.,3,The District’s Proposed Derelict Gear Monitoring Plan Allows For Detection And Removal Of Derelict Fishing Gear. This Will Minimize The Chance That Recreational Fishing Gear Will Snag On Project Components. These Mitigation Measures Reduce The Likelihood Of Derelict Fishing Gear Entangling On Project Works And Impacting Marine Species.
"The installation and maintenance of the PowerBuoys would result in a certain level of noise from service vessels and equipment. Noise associated with the installation activities may temporarily alter migration and feeding patterns. The PowerBuoy will also produce some level of noise during its operation.  Installation of the anchoring and mooring system for this project will not involve percussive pile driving or drilling, the most significant noise source during most marine construction (Halcrow Group 2006). Additionally, vessels involved with laying the transmission cable are expected to be operating at idle speed. Therefore, while the noise associated with the installation and maintenance activities may temporarily cause avoidance and alter feeding patterns for certain marine species, any effects would be short term and are anticipated to be negligible.",3,"The Installation And Maintenance Of The Powerbuoys Would Result In A Certain Level Of Noise From Service Vessels And Equipment. Noise Associated With The Installation Activities May Temporarily Alter Migration And Feeding Patterns. The Powerbuoy Will Also Produce Some Level Of Noise During Its Operation.  Installation Of The Anchoring And Mooring System For This Project Will Not Involve Percussive Pile Driving Or Drilling, The Most Significant Noise Source During Most Marine Construction (Halcrow Group 2006). Additionally, Vessels Involved With Laying The Transmission Cable Are Expected To Be Operating At Idle Speed. Therefore, While The Noise Associated With The Installation And Maintenance Activities May Temporarily Cause Avoidance And Alter Feeding Patterns For Certain Marine Species, Any Effects Would Be Short Term And Are Anticipated To Be Negligible."
"The installation of the transmission cable, mooring system, and PowerBuoys involves the use of heavy construction equipment including cranes, barges, tugs, and trenching equipment. The disturbance of the seabed may affect the local benthic community, specifically within the footprint of the gravity base anchors and along the cable route.",1,"The Installation Of The Transmission Cable, Mooring System, And Powerbuoys Involves The Use Of Heavy Construction Equipment Including Cranes, Barges, Tugs, And Trenching Equipment. The Disturbance Of The Seabed May Affect The Local Benthic Community, Specifically Within The Footprint Of The Gravity Base Anchors And Along The Cable Route."
"The measurements of ambient and different operational conditions clearly indicate the presence of associated sounds of varying characteristics in the region of hearing for at least some of the marine life known to occur in the vicinity of the project site (more so for seals and fish than any cetaceans). Protected species in the vicinity of the TidGen® TGU may hear and could potentially be affected by the device. However, the potential for behavioral responses is likely to be extremely limited and these levels would almost certainly not trip any thresholds for potential level B harassment. In addition, the sound levels recorded would not cause hearing loss or injury in terms of acoustics for any species at any range.",1,"The Measurements Of Ambient And Different Operational Conditions Clearly Indicate The Presence Of Associated Sounds Of Varying Characteristics In The Region Of Hearing For At Least Some Of The Marine Life Known To Occur In The Vicinity Of The Project Site (More So For Seals And Fish Than Any Cetaceans). Protected Species In The Vicinity Of The Tidgen® Tgu May Hear And Could Potentially Be Affected By The Device. However, The Potential For Behavioral Responses Is Likely To Be Extremely Limited And These Levels Would Almost Certainly Not Trip Any Thresholds For Potential Level B Harassment. In Addition, The Sound Levels Recorded Would Not Cause Hearing Loss Or Injury In Terms Of Acoustics For Any Species At Any Range."
The noise studies and analysis of potential impacts conducted during the Pilot License Period and analyzed in FERC’s EA showed that the noise levels from up to 4 operating turbines were well below the source levels that affect fish behavior. Aquatic species are presently living with noise levels generated by the subway tunnel traffic on par with the noise levels generated by the KHPS units.,1,The Noise Studies And Analysis Of Potential Impacts Conducted During The Pilot License Period And Analyzed In Ferc’s Ea Showed That The Noise Levels From Up To 4 Operating Turbines Were Well Below The Source Levels That Affect Fish Behavior. Aquatic Species Are Presently Living With Noise Levels Generated By The Subway Tunnel Traffic On Par With The Noise Levels Generated By The Khps Units.
"The only portions of the device that would obstruct flow, increase water speed, and potentially create scour would be the pontoons. The pontoons are 4.6 feet in diameter, which represents a very small portion of the overall cross section of the river in the project area, and would not lead to a major increase of water speed. We expect scour around the project pontoons to be negligible.  In addition, available information indicates that the majority of the riverbed is composed of coarse gravel, cobbles, and small to medium boulders, all of which require high river velocity for mobilization and are less prone to scour. The gravel, cobble, and boulders would also act as scour protection for any smaller sediment classes that may lie underneath.",1,"The Only Portions Of The Device That Would Obstruct Flow, Increase Water Speed, And Potentially Create Scour Would Be The Pontoons. The Pontoons Are 4.6 Feet In Diameter, Which Represents A Very Small Portion Of The Overall Cross Section Of The River In The Project Area, And Would Not Lead To A Major Increase Of Water Speed. We Expect Scour Around The Project Pontoons To Be Negligible.  In Addition, Available Information Indicates That The Majority Of The Riverbed Is Composed Of Coarse Gravel, Cobbles, And Small To Medium Boulders, All Of Which Require High River Velocity For Mobilization And Are Less Prone To Scour. The Gravel, Cobble, And Boulders Would Also Act As Scour Protection For Any Smaller Sediment Classes That May Lie Underneath."
The potential effects from underwater noise generated by wave and tidal energy converters AND Potential for disturbance from project vessels.,4,The Potential Effects From Underwater Noise Generated By Wave And Tidal Energy Converters And Potential For Disturbance From Project Vessels.
"The potential effects on seabirds from vessel lighting are expected to be short-term and intermittent, limited to installation of the WECs and during periodic maintenance and repair activities; environmental monitoring is unlikely to occur at night. To minimize the potential for seabird attraction to lighting on service and support vessels, servicing and maintenance operations at PacWave South would occur during daylight whenever practicable. Managing Project lighting requirements properly would minimize the likelihood that seabirds would be affected by navigational lighting on Project structures, or on servicing and support vessels. Therefore, significant adverse effects on seabirds as a result of artificial lighting associated with the Project are not expected to occur and will be minimized by the environmental measures in the Bird and Bat Conservation Strategy (Appendix B).",1,"The Potential Effects On Seabirds From Vessel Lighting Are Expected To Be Short-Term And Intermittent, Limited To Installation Of The Wecs And During Periodic Maintenance And Repair Activities; Environmental Monitoring Is Unlikely To Occur At Night. To Minimize The Potential For Seabird Attraction To Lighting On Service And Support Vessels, Servicing And Maintenance Operations At Pacwave South Would Occur During Daylight Whenever Practicable. Managing Project Lighting Requirements Properly Would Minimize The Likelihood That Seabirds Would Be Affected By Navigational Lighting On Project Structures, Or On Servicing And Support Vessels. Therefore, Significant Adverse Effects On Seabirds As A Result Of Artificial Lighting Associated With The Project Are Not Expected To Occur And Will Be Minimized By The Environmental Measures In The Bird And Bat Conservation Strategy (Appendix B)."
"the potential for sea turtle entanglement in derelict fishing gear was of concern, if it was found to accumulate on the PowerBuoy system. It is unknown at this time to what degree the prevalence of lost or derelict gear is in the vicinity of the project and the potential for the array to collect this derelict fishing gear.",1,"The Potential For Sea Turtle Entanglement In Derelict Fishing Gear Was Of Concern, If It Was Found To Accumulate On The Powerbuoy System. It Is Unknown At This Time To What Degree The Prevalence Of Lost Or Derelict Gear Is In The Vicinity Of The Project And The Potential For The Array To Collect This Derelict Fishing Gear."
The PowerBuoy deployed in New Jersey has been onsite for a combined total of 24 months. Periodic inspections were performed both above and below the water at one- and two-month intervals. Biological growth in the form of bivalves has occurred primarily on the mooring lines. The PowerBuoy structure itself is coated with an anti-fouling paint that has been effective in deterring biological growth. The PowerBuoy array may also act as a Fish Aggregation Device (FAD) for pelagic fish and invertebrates.,1,The Powerbuoy Deployed In New Jersey Has Been Onsite For A Combined Total Of 24 Months. Periodic Inspections Were Performed Both Above And Below The Water At One- And Two-Month Intervals. Biological Growth In The Form Of Bivalves Has Occurred Primarily On The Mooring Lines. The Powerbuoy Structure Itself Is Coated With An Anti-Fouling Paint That Has Been Effective In Deterring Biological Growth. The Powerbuoy Array May Also Act As A Fish Aggregation Device (Fad) For Pelagic Fish And Invertebrates.
"The Project has the potential to affect diving birds in and around the turbine area. Throughout 2006-2008, as discussed above, Verdant Power logged approximately 290 hours of bird observations before and during deployment of the RITE Demonstration Project KHPS units. Birds were observed around the demonstration project to determine if the KHPS units adversely impact diving birds associated with the East River; Verdant Power believes that the body of developed knowledge does not show any signs of impact on diving birds. This detailed effort in and around the RITE project demonstration site and the general area of the proposed RITE Pilot License did not show any material difference in pre-and post-operation bird activity. The presence of more geese flying through the area in post-deployment during the fall of 2008 can be attributed to seasonal migration patterns. Observations during the operation of the RITE Demonstration KHPS units also did not indicate any increased attraction of diving birds to the site which may have been expected if the turbines impacted fish in the area. Anecdotal evidence suggests double-crested cormorants, the only diving birds observed at the site, swim/float with the current and only dive during or close to slack tide when the turbines are not rotating.",3,"The Project Has The Potential To Affect Diving Birds In And Around The Turbine Area. Throughout 2006-2008, As Discussed Above, Verdant Power Logged Approximately 290 Hours Of Bird Observations Before And During Deployment Of The Rite Demonstration Project Khps Units. Birds Were Observed Around The Demonstration Project To Determine If The Khps Units Adversely Impact Diving Birds Associated With The East River; Verdant Power Believes That The Body Of Developed Knowledge Does Not Show Any Signs Of Impact On Diving Birds. This Detailed Effort In And Around The Rite Project Demonstration Site And The General Area Of The Proposed Rite Pilot License Did Not Show Any Material Difference In Pre-And Post-Operation Bird Activity. The Presence Of More Geese Flying Through The Area In Post-Deployment During The Fall Of 2008 Can Be Attributed To Seasonal Migration Patterns. Observations During The Operation Of The Rite Demonstration Khps Units Also Did Not Indicate Any Increased Attraction Of Diving Birds To The Site Which May Have Been Expected If The Turbines Impacted Fish In The Area. Anecdotal Evidence Suggests Double-Crested Cormorants, The Only Diving Birds Observed At The Site, Swim/Float With The Current And Only Dive During Or Close To Slack Tide When The Turbines Are Not Rotating."
"The Project is not anticipated to have any significant negative effects on aesthetics. During short-term construction, annual maintenance, and decommissioning activities aesthetic resources will be affected by equipment such as construction vehicles, support craft and transport vessels. These impacts will be temporary. Visible components of the Project (e.g., shore station) have previously been installed.",1,"The Project Is Not Anticipated To Have Any Significant Negative Effects On Aesthetics. During Short-Term Construction, Annual Maintenance, And Decommissioning Activities Aesthetic Resources Will Be Affected By Equipment Such As Construction Vehicles, Support Craft And Transport Vessels. These Impacts Will Be Temporary. Visible Components Of The Project (E.g., Shore Station) Have Previously Been Installed."
"The Project is not anticipated to have any significant negative effects on endangered or threatened species or critical habitat. The monitoring plans, in conjunction with the Safeguard Plans, provide an effective means of evaluating and addressing any Project effects, consistent with the goals of a pilot project.",3,"The Project Is Not Anticipated To Have Any Significant Negative Effects On Endangered Or Threatened Species Or Critical Habitat. The Monitoring Plans, In Conjunction With The Safeguard Plans, Provide An Effective Means Of Evaluating And Addressing Any Project Effects, Consistent With The Goals Of A Pilot Project."
"The Project is not anticipated to have any significant negative effects on recreation or land use. The monitoring plans, in conjunction with the Project Safeguard Plans (including a Navigation Safety Plan), provide an effective means of evaluating and addressing any Project effects, consistent with the goals of a pilot project.",1,"The Project Is Not Anticipated To Have Any Significant Negative Effects On Recreation Or Land Use. The Monitoring Plans, In Conjunction With The Project Safeguard Plans (Including A Navigation Safety Plan), Provide An Effective Means Of Evaluating And Addressing Any Project Effects, Consistent With The Goals Of A Pilot Project."
"The project would have minimal impact on visual resources because the project’s generating equipment and most of the cabling would be submerged except during project installation and removal. The shore station would be installed in an already-cleared area on an existing gravel pad adjacent to an existing transformer and would not stand out significantly against the surrounding landscape which is relatively developed. While painting the shore station with non-reflective colors would reduce its contrast with the surrounding area, doing so would reduce its visibility to those maneuvering vehicles in the turnaround area, some of which could be carrying large loads which could collide with the station. Keeping the station visible would help to avoid such events. Portions of the above-ground cable, where it is not buried, would traverse already disturbed vegetation and would generally be screened from view from water users by the existing vegetation.",1,"The Project Would Have Minimal Impact On Visual Resources Because The Project’s Generating Equipment And Most Of The Cabling Would Be Submerged Except During Project Installation And Removal. The Shore Station Would Be Installed In An Already-Cleared Area On An Existing Gravel Pad Adjacent To An Existing Transformer And Would Not Stand Out Significantly Against The Surrounding Landscape Which Is Relatively Developed. While Painting The Shore Station With Non-Reflective Colors Would Reduce Its Contrast With The Surrounding Area, Doing So Would Reduce Its Visibility To Those Maneuvering Vehicles In The Turnaround Area, Some Of Which Could Be Carrying Large Loads Which Could Collide With The Station. Keeping The Station Visible Would Help To Avoid Such Events. Portions Of The Above-Ground Cable, Where It Is Not Buried, Would Traverse Already Disturbed Vegetation And Would Generally Be Screened From View From Water Users By The Existing Vegetation."
The turbine foundations and subsea transmission cables will contact the benthic substrate at the deployment site and may affect the local subsea geology and seabed.,1,The Turbine Foundations And Subsea Transmission Cables Will Contact The Benthic Substrate At The Deployment Site And May Affect The Local Subsea Geology And Seabed.
"there are three primary potential effects of the project on water quality:
Fluid leakage from the PowerBuoys;
Spills during construction and installation; and
Leachate from the anti-fouling paint that coats the main components of the PowerBuoy system.",1,"There Are Three Primary Potential Effects Of The Project On Water Quality:
Fluid Leakage From The Powerbuoys;
Spills During Construction And Installation; And
Leachate From The Anti-Fouling Paint That Coats The Main Components Of The Powerbuoy System."
THERMAL POLLUTION,6,Thermal Pollution
THERMAL POLLUTION AND BENTHOS/CORAL,1,Thermal Pollution And Benthos/Coral
THERMAL POLLUTION AND FISH,1,Thermal Pollution And Fish
THERMAL POLLUTION AND MARINE MAMMALS,2,Thermal Pollution And Marine Mammals
"they could also forage around underwater WEC components and potentially be subject to collision with underwater WEC components or entanglement with marine debris that becomes entangled with the components, although this effect is also unlikely to occur (Henkel et al. 2013, see “potential effects of collision or entanglement” section below).",1,"They Could Also Forage Around Underwater Wec Components And Potentially Be Subject To Collision With Underwater Wec Components Or Entanglement With Marine Debris That Becomes Entangled With The Components, Although This Effect Is Also Unlikely To Occur (Henkel Et Al. 2013, See “Potential Effects Of Collision Or Entanglement” Section Below)."
THIS DOCUMENT MODELS THE PROBABILITY FOR THIS INTERACTION,5,This Document Models The Probability For This Interaction
"This facility includes oil- filled equipment which have a total capacity up to 2,640 gallons and could discharge to the Pacific Ocean; therefore, this facility is required to have a Spill Prevention, Control and Countermeasure (SPCC) Plan in accordance with 40 CFR Part 112. The following SPCC Plan has been prepared to specifically address this wave energy generating and transmission facility. This SPCC Plan has been prepared in accordance with standard engineering practice and has the full approval of Reedsport OPT Wave Park, LLC management at a level with the authority to commit the necessary resources to prevent or mitigate release to the environment.",1,"This Facility Includes Oil- Filled Equipment Which Have A Total Capacity Up To 2,640 Gallons And Could Discharge To The Pacific Ocean; Therefore, This Facility Is Required To Have A Spill Prevention, Control And Countermeasure (Spcc) Plan In Accordance With 40 Cfr Part 112. The Following Spcc Plan Has Been Prepared To Specifically Address This Wave Energy Generating And Transmission Facility. This Spcc Plan Has Been Prepared In Accordance With Standard Engineering Practice And Has The Full Approval Of Reedsport Opt Wave Park, Llc Management At A Level With The Authority To Commit The Necessary Resources To Prevent Or Mitigate Release To The Environment."
