Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Monitoring,Operation & Maintenance,Changes in sediment dynamics,Benthic,"Benthic invertebrates, demersal fish","The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive sub-littoral seabed due to scour or siltation around devices and associated moorings, support structures and export cables.","Periodic visual monitoring through the use of divers or drop down video, static cameras / remote sensing techniques,  benthic grab surveys,  geophysical survey to identify scour pits, turbidity measurements.","Implementation of this measure would generate data to quantify level and spatial extent of effect, however there are technical and health and safety risks associated with periodic monitoring in close vicinity of infrastructure. This measure may also require power shut down. 

Additionally, the associated subsea static monitoring options require O&M which has potential time and cost implications.",NA,NA,Post installation monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change and the potential need for further mitigation.,Generation of data to quantify level and spatial extent of effect.,"Technical and health and safety risks associated with periodic monitoring operation in close vicinity of infrastructure. 
May require power shut down measure. 
Subsea static monitoring options require O&M which may have time and cost implications.","Ramsey Sound Tidal Energy Limited Scoping Report, Environmental Scoping Report: Brims Tidal Array, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Shapinsay Sound Scale Site: Environmental Description, Sound of Islay Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Environmental Assessment for Hydropower License: PacWave South Project, Siadar Wave Energy Project Scoping Report","Ramsey Sound, Brims Tidal Array, EMEC Fall of Warness Grid-Connected Tidal Test Site, EMEC Shapinsay Sound Scale Tidal Test Site, Sound of Islay Demonstration Tidal Array, Strangford Lough - MCT (SeaGen), Westray South Tidal Project, PacWave South Test Site"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Birds,Diving birds,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behavior.,Design structures to minimize effect on turbulence structure.,NA,NA,NA,NA,Minimizes change in turbulence structure and hence potential interaction.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, Ramsey Sound Tidal Energy Limited Scoping Report","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen), Ramsey Sound"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel collision,Marine Mammals,Cetaceans,Potential for collision with project vessels.,Adhere to minimum approach distances for vessels on approach.,Reduces potential effects and is a relatively low cost measure.,NA,NA,On vessel transits to and from site.,Reduces potential effects and is a relatively low cost measure.,NA,"Oyster 2 Wave Energy Project Environmental Statement, EMEC Billia Croo Test Site: Environmental Appraisal, Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Environmental Assessment for Hydropower License: PacWave South Project, Orbital O2 Environmental Monitoring Programme","Oyster 800 at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site, EMEC Scapa Flow Scale Wave Test Site, Tocardo InToTidal at EMEC, PacWave South Test Site"
"Wave, Tidal",Design feature,"Installation, Decommissioning",Habitat Loss,Fish,Demersal fish,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Micrositing of offshore infrastructure to avoid sensitive habitats and minimise footprint.,This could reduce/remove effects on sensitive habitats and is a relatively low cost measure.,NA,NA,When there are sensitive habitats at the project site.,"Could reduce/remove effects on sensitive habitats.
Low cost measure at single device or small-scale array.",NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, EMEC Billia Croo Grid-Connected Wave Test Site, Galway Bay Test Site"
"Wave, Tidal",Design feature,Installation,Barrier to movement,Marine Mammals,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Array/mooring configuration designed to avoid migratory routes or other important sites,NA,NA,NA,NA,Minimizes risk of development acting as a barrier to movement by avoiding migratory routes or other important sites,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species.,Bundle cables together to reduce field vectors.,NA,NA,NA,NA,NA,NA,MeyGen Tidal Energy Project Phase 1: Environmental Statement,MeyGen Tidal Energy Project - Phase I
"Wave, Tidal",Compliance,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Birds,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Would remove/reduce risk of transfer and settlement of non-native species.,NA,NA,NA,Reduce/remove risk of transfer and settlement of non-native species.,NA,"MeyGen Tidal Energy Project Phase 1: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","MeyGen Tidal Energy Project - Phase I, Magallanes Renovables ATIR at EMEC, Kyle Rhea Tidal Stream Array Project, PacWave South Test Site"
"Wave, Tidal",Mitigation,Operation & Maintenance,Contamination,Marine Mammals,NA,Potential for oil/hydraulic spill incident resulting from the maintenance activities.,All maintenance activities involving oil/hydraulic fluid treatments will be carried out on-shore.,Reduces the chance for oil spill to the environment,NA,NA,NA,Reduces the chance for oil spill to the environment.,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement",EMEC Fall of Warness Grid-Connected Tidal Test Site
"Wave, Tidal",Mitigation,Operation & Maintenance,Entrapment,Reptiles,NA,Potential risk of entrapment within device chambers and mooring arrays.,Regular ROV/drop down camera surveys to establish occurrence of entrapment,NA,NA,NA,NA,Early detection of entrapment.,Additional cost.,NA,NA
"Wave, Tidal",None identified,Operation & Maintenance,Displacement,Fish,"Elasmobranch, large fish",Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,None identified.,NA,NA,NA,NA,NA,NA,NA,NA
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Contamination,Habitat,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Where rock placement is used, ensure clean rock is used.",Reduces/removes risk of contamination from materials.,NA,NA,NA,Reduces/removes risk of contamination/pollution from materials.,NA,NA,NA
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance",Changes in sediment dynamics,Benthic,"Benthic invertebrates, demersal fish","The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive sub-littoral seabed due to scour or siltation around devices and associated moorings, support structures and export cables.","Micrositing of export cables and infrastructure to minimise the impact on sensitive habitats and species. Best practice techniques for cable installation, burial, and protection.","Reduces, limits or offsets potential impacts on sensitive habitats and species.",NA,NA,When there are sensitive species or habitats identified as being present at the project site.,"Reduces, limits, or offsets potential impacts on sensitive habitats and species.",NA,"Skerries Tidal Stream Array: Environmental Impact Assessment Scoping Report, Ramsey Sound Tidal Energy Limited Scoping Report, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, West Orkney South Wave Energy Site Environmental Scoping Report, Wave Hub Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fair Head Tidal Energy Park Environmental Statement, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Proposed Torr Head Tidal Scheme Environmental Scoping Report, Morlais Project Environmental Statement: Non-Technical Summary, Oyster 2 Wave Energy Project Environmental Statement","Anglesey Skerries Tidal Stream Array, Ramsey Sound, EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, Wave Hub, Westray South Tidal Project, Fair Head Tidal Array, EMEC Billia Croo Grid-Connected Wave Test Site, Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), Torr Head Project, Oyster 800 at EMEC"
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Birds,Diving birds,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behavior.,"Modelling to predict the interaction between changes in tidal flow, flux, and turbulence structure and animals.",NA,NA,NA,NA,Reduces scientific uncertainty so appropriate management measures can be employed.,Limited management measures available to minimize interaction despite modelling to fully predict interaction.,NA,NA
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Marine Mammals,NA,Potential for disturbance from project vessels.,Reduce speed and maintain steady course when animal is sighted.,Reduces potential effects and is a relatively low cost measure.,"Difficult to regulate and movements of animals can't be controlled. However, is commonly used in the industry with apparent success.",NA,On vessel transits to and from site.,Reduces potential effects and is a relatively low cost measure.,NA,"Oyster 2 Wave Energy Project Environmental Statement, HS1000 1 MW Tidal Turbine at EMEC: Supporting Documentation, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Scapa Flow Scale Test Site Gravity Base Anchors: Marine Licence Application - Supporting Document, Magallanes ATIR: Project Environmental Monitoring Plan, 40MW Oyster Wave Array North West Coast, Isle of Lewis Environmental Statement, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Environmental Assessment for Hydropower License: PacWave South Project, Orbital O2 Environmental Monitoring Programme","Oyster 800 at EMEC, HS1000 at EMEC, Wello Penguin at EMEC, EMEC Scapa Flow Scale Wave Test Site, Magallanes Renovables ATIR at EMEC, Oyster 800 at EMEC, Tocardo InToTidal at EMEC, Swansea Bay Tidal Lagoon (SBTL), PacWave South Test Site"
"Wave, Tidal",Design feature,"Installation, Decommissioning",Habitat Loss,Fish,Demersal fish,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Minimise footprint of anchors/foundations.,"This could reduce effects on sensitive habitats, however may impact technical considerations.",NA,NA,As far as technical considerations permit.,Could reduce effects on sensitive habitats,May impact technical considerations.,"Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, EMEC Billia Croo Test Site: Environmental Appraisal, Environmental Assessment for Hydropower License: PacWave South Project","Wello Penguin at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site, PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Barrier to movement,Marine Mammals,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Adherence to vessel management plan.,NA,NA,NA,NA,Minimizes the potential interaction between animals and construction or maintenance vessels.,NA,"Environmental Scoping Report: Brims Tidal Array, Draft Phase 1 Project-specific Environmental Monitoring Programme (PEMP): Report to Tocardo Tidal Energy Ltd, Sound of Islay Environmental Statement","Brims Tidal Array, Tocardo InToTidal at EMEC, Sound of Islay Demonstration Tidal Array"
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Benthic,Benthic invertebrates,Impacts of electromagnetic fields from landfall cables on sensitive species.,Bury cables where possible and viable.,NA,NA,NA,NA,NA,NA,"Atlantic Marine Energy Test Site Environmental Impact Statement, Environmental Assessment for Hydropower License: PacWave South Project","Atlantic Marine Energy Test Site (AMETS), PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Birds,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,Lack of industry specific guidance.,EMEC Fall of Warness Test Site: Environmental Appraisal,EMEC Fall of Warness Grid-Connected Tidal Test Site
"Wave, Tidal",Mitigation,Installation,Contamination,Habitat,NA,"Accidental release of contaminants during installation including diesel fuel, oil hydraulic fluids, etc.",Best practice methodologies to reduce risk of accidental release of contaminants.,Reduces risk of contamination escaping from structure.,West Islay Tidal Project Energy Park ES 2013 Vol.2 Biological Environment,New measure,NA,Reduces risk of contamination/pollution escaping from structure.,NA,West Islay Tidal Energy Park: Environmental Statement,West Islay Tidal Project Energy Park
"Wave, Tidal",Monitoring,Operation & Maintenance,Habitat Creation,Reptiles,NA,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours.,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure which could benefit future project applications. However, there is a cost implication associated with monitoring.",NA,NA,Post installation monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change.,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure.
Reduces scientific uncertainty around collision risk, displacement, and other impacts.
Increased value/fecundity of commercially important species.","Can be expensive and difficult to deliver in practice.
May require additional licensing (e.g., echosounders).",NA,NA
"Wave, Tidal",Design feature,Operation & Maintenance,Displacement,Fish,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Site selection (taking into account cumulative impact of other developments).,NA,NA,NA,NA,Minimizes risk of development causing displacement by avoiding migratory routes or other important sites.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
"Wave, Tidal","Mitigation, Compliance","Installation, Operation & Maintenance, Decommissioning",Contamination,Habitat,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan/Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organization (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.,NA,NA,NA,"Reduces risk of any contamination/pollution event and ensures that contingency plans are in place. 
Demonstrates compliance with environmental management systems.",NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, GSK Montrose Swan Turbines Environmental Statement Non-Technical Summary, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Wave Hub Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Fall of Warness Grid-Connected Tidal Test Site, GSK Montrose Tidal Array, MeyGen Tidal Energy Project - Phase I, Strangford Lough - MCT (SeaGen), Kyle Rhea Tidal Stream Array Project, Wave Hub, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Changes in sediment dynamics,Benthic,NA,Reduced visibility from altered water clarity associated with sediment mixing that can impact prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation/mooring installation.,NA,NA,NA,Should be implemented at all times during  cable burial and foundation/mooring installation.,NA,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Sound of Islay Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Wave Hub Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Fall of Warness Grid-Connected Tidal Test Site, Sound of Islay Demonstration Tidal Array, Kyle Rhea Tidal Stream Array Project, Wave Hub, Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), Galway Bay Test Site, PacWave South Test Site, Mocean Wave Energy Converter: Blue Horizon"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Birds,Diving birds,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behavior.,Site selection.,NA,NA,NA,NA,Minimizes significance of interaction.,NA,"Environmental Appraisal (EA) for the Argyll Tidal Demonstrator Project, Ness of Duncansby Scoping Report","Argyll Tidal Demonstrator Project, Ness of Duncansby Tidal Array"
"Wave, Tidal",Mitigation,Operation & Maintenance,Vessel disturbance,Marine Mammals,NA,Potential for disturbance from project vessels.,Use smaller vessels for maintenance purposes.,Reduces potential effects and is a relatively low cost measure.,NA,NA,When technical considerations permit.,Reduces potential effects and is a relatively low cost measure.,NA,"Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan","Wello Penguin at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site"
"Wave, Tidal",Design feature,"Installation, Decommissioning",Habitat Loss,Fish,Demersal fish,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,Cable protection management measures to ensure that any rock placement that is required will be kept to a minimum to reduce seabed disturbance.,This could reduce effects on sensitive habitats.,NA,NA,NA,Could reduce effects on sensitive habitats,Additional cost.,"West Islay Tidal Energy Park: Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","West Islay Tidal Project Energy Park, PacWave South Test Site"
"Wave, Tidal",Monitoring,"Installation, Operation & Maintenance, Decommissioning",Barrier to movement,Marine Mammals,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Monitoring of existing developments.,NA,NA,NA,NA,Reduces scientific uncertainty.,Can be complex and costly.,"Oyster 2 Wave Energy Project Environmental Statement, GSK Montrose Swan Turbines Environmental Statement Non-Technical Summary, Lashy Sound Tidal Array Scoping Report","Oyster 800 at EMEC, GSK Montrose Tidal Array"
"Wave, Tidal",Mitigation,Operation & Maintenance,Entrapment,Benthic,NA,Potential risk of entrapment within device chambers and mooring arrays.,Regular ROV/drop down camera surveys to establish occurrence of entrapment,NA,NA,NA,NA,Early detection of entrapment.,Additional cost.,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement",NA
"Wave, Tidal","Mitigation, Compliance","Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Birds,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer of non-native species.,NA,Atlantic Marine Energy Test Site Environmental Impact Statement,Atlantic Marine Energy Test Site (AMETS)
"Wave, Tidal",None identified,Operation & Maintenance,Displacement,Marine Mammals,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wave, Tidal",Compliance,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Reptiles,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduces/removes risk of transfer and settlement of non-native species.,NA,NA,Project vessels will be required to comply with all relevant legislation and guidelines.,Reduce/remove risk of transfer and settlement of non-native species.,NA,"MeyGen Tidal Energy Project Phase 1: Environmental Statement, Environmental Assessment for Hydropower License: PacWave South Project","MeyGen Tidal Energy Project - Phase I, PacWave South Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Displacement,Fish,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Timing of installation and decommissioning & marine operations to avoid times of particular sensitivity (e.g. breeding).,NA,NA,NA,NA,Minimizes risk of development causing displacement by avoiding works during sensitive times.,Can be disruptive and hence costly to developer.,"Environmental Scoping Report: Brims Tidal Array, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fairhead Tidal Environmental Impact Assessment Scoping Document, Lashy Sound Tidal Array Scoping Report, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report, Ness of Duncansby Scoping Report","Brims Tidal Array, Wello Penguin at EMEC, EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, Westray South Tidal Project, Fair Head Tidal Array, Galway Bay Test Site, PacWave South Test Site, Torr Head Project, Ness of Duncansby Tidal Array"
"Wave, Tidal",Mitigation,Installation,Contamination,Habitat,NA,"Accidental release of contaminants during installation including diesel fuel, oil hydraulic fluids, etc.",Best practice methodologies to reduce risk of accidental release of contaminants.,Reduces risk of contamination escaping from structure.,NA,Original management measures tool,NA,Reduces risk of contamination/pollution escaping from structure.,NA,West Islay Tidal Energy Park: Environmental Statement,West Islay Tidal Project Energy Park
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Changes in sediment dynamics,Benthic,NA,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation/mooring installation.,NA,NA,NA,Should be implemented at all times during  cable burial and foundation/mooring installation.,NA,NA,"Sound of Islay Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Wave Hub Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project","Sound of Islay Demonstration Tidal Array, Kyle Rhea Tidal Stream Array Project, Wave Hub, Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), Galway Bay Test Site, PacWave South Test Site"
Tidal,Monitoring,Operation & Maintenance,Collision risk,Birds,Diving birds,Potential for collision with turbine blades.,Environmental monitoring to detect collision events.,"Helps to develop an understanding of avoidance behaviour, nature of interactions and  outcome of collision events. However, there are cost implications assocaited with this level of monitoring.",NA,NA,Monitoring is often required by regulators and is carried out in order to validate the assumptions made in EIA and to assess ecological change and the potential need for further mitigation.,"Understand avoidance behavior, nature of interactions, and outcome of collision events.","Can be a high cost associated with measure.
Unclear how much monitoring will be required to fully understand this risk.
Technology is not advanced enough yet to do this efficiently. 
Data mortgage (data generated more quickly than it can be analysed).
Power supply availability - hard-wired vs. battery; power is required for monitoring and power availability can present logistical, financial, and technical challenges.
Interaction between equipment - e.g., multibeam sonar/ADCP/echosounder;  can be interaction between monitoring equipment which can present challenges in monitoring.
Certain equipment used such as PAM may actually effect behaviour themselves.","AK-1000 Environmental Monitoring Programme, Oyster 2 Wave Energy Project Environmental Statement, Lashy Sound Tidal Array Scoping Report, Deep Green Holyhead Deep Project Phase I (0.5 MW) - Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Costa Head Wave Farm: Scoping Report Offshore Project Infrastructure, Fairhead Tidal Environmental Impact Assessment Scoping Document, GSK Montrose Swan Turbines Environmental Statement Non-Technical Summary","Atlantis Resources Corporation at EMEC, Oyster 800 at EMEC, Minesto Holyhead Deep - Non-grid connected DG500, Westray South Tidal Project, Costa Head Wave Farm, Fair Head Tidal Array, GSK Montrose Tidal Array"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Vessel disturbance,Marine Mammals,Seals,Disturbance at seal haul-out sites from project vessels.,Avoid transiting within 500m of known seal haul outs.,Reduces potential effects and is a relatively low cost measure.,NA,NA,When seal haul-out sites are in the vicinity of the vessel transit route to and from site.,Reduces potential effects and is a relatively low cost measure.,NA,"AK-1000 Environmental Monitoring Programme, Environmental Appraisal (EA) for the Argyll Tidal Demonstrator Project, Lashy Sound Tidal Array Scoping Report, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, 40MW Oyster Wave Array North West Coast, Isle of Lewis Environmental Statement","Atlantis Resources Corporation at EMEC, Argyll Tidal Demonstrator Project, Pelamis Wave Power P2 Demonstration at EMEC, Magallanes Renovables ATIR at EMEC, Oyster 800 at EMEC"
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Habitat Loss,Fish,Demersal fish,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,"Use of locally sourced materials, for cable protection, of the same type as the habitat to be disturbed by cable installation.",Minimize impact on biodiversity/ ecosystem.,NA,NA,As far as technical and economic considerations permit.,Minimizes habitat loss as lost seabed is replaced with same material.,NA,NA,NA
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Changes in sediment dynamics,Marine Mammals,NA,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation/mooring installation.,NA,NA,NA,NA,NA,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project","EMEC Fall of Warness Grid-Connected Tidal Test Site, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site, PacWave South Test Site"
"Wave, Tidal",Monitoring,Operation & Maintenance,Habitat Creation,Benthic,Benthic species,The introduction of infrastructure and artificial substrates may generate additional habitat diversity.,Structure colonization and biofouling surveys.,"Informs understanding of potential for increased prey availability and ecological diversity which could benefit future project applications, however there is a cost implication associated with monitoring.",NA,NA,May be required by the regulator.,Informs understanding of potential for increased prey availability and ecological diversity.,Cost associated with monitoring.,"Magallanes ATIR: Project Environmental Monitoring Plan, Orbital O2 Environmental Monitoring Programme",Magallanes Renovables ATIR at EMEC
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Birds,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.,NA,NA,NA,Reduce/remove risk of transfer and settlement of non-native species.,NA,"Environmental Monitoring and Mitigation Plan: Shetland Tidal Array, Bluemull Sound","Nova Innovation - Shetland Tidal Array, Mocean Wave Energy Converter: Blue Horizon"
